measure,item1,item2,r,n_pair,status
GAToRS Positive,gators_5,gators_11,0.04994657504766764,100,ok (19/49 empty cells)
GAToRS Positive,gators_5,gators_12,0.23811718397178278,100,ok (7/35 empty cells)
GAToRS Positive,gators_5,gators_13,0.020624456415388452,100,ok (17/49 empty cells)
GAToRS Positive,gators_5,gators_14,-0.2492070857270364,100,ok (20/49 empty cells)
GAToRS Positive,gators_5,gators_15,0.30990881954112337,100,ok (15/42 empty cells)
GAToRS Positive,gators_11,gators_12,0.6288038507815773,100,ok (15/35 empty cells)
GAToRS Positive,gators_11,gators_13,0.45320960647141334,100,ok (25/49 empty cells)
GAToRS Positive,gators_11,gators_14,0.5081055048001785,100,ok (20/49 empty cells)
GAToRS Positive,gators_11,gators_15,0.4388508357782855,100,ok (17/42 empty cells)
GAToRS Positive,gators_12,gators_13,0.44559682557708175,100,ok (14/35 empty cells)
GAToRS Positive,gators_12,gators_14,0.26759884954465024,100,ok (10/35 empty cells)
GAToRS Positive,gators_12,gators_15,0.5457864864542872,100,ok (11/30 empty cells)
GAToRS Positive,gators_13,gators_14,0.4612295335575219,100,ok (22/49 empty cells)
GAToRS Positive,gators_13,gators_15,0.4639390639242503,100,ok (20/42 empty cells)
GAToRS Positive,gators_14,gators_15,0.14151372529866618,100,ok (13/42 empty cells)
GAToRS Positive,gators_1,gators_1,1.0,100,diagonal
GAToRS Positive,gators_2,gators_2,1.0,100,diagonal
GAToRS Positive,gators_3,gators_3,1.0,100,diagonal
GAToRS Positive,gators_4,gators_4,1.0,100,diagonal
GAToRS Positive,gators_5,gators_5,1.0,100,diagonal
GAToRS Positive,gators_11,gators_11,1.0,100,diagonal
GAToRS Positive,gators_12,gators_12,1.0,100,diagonal
GAToRS Positive,gators_13,gators_13,1.0,100,diagonal
GAToRS Positive,gators_14,gators_14,1.0,100,diagonal
GAToRS Positive,gators_15,gators_15,1.0,100,diagonal
GAToRS Negative,gators_6,gators_7,0.21160715318611048,100,ok (10/42 empty cells)
GAToRS Negative,gators_6,gators_8,0.41847686139219303,100,ok (11/42 empty cells)
GAToRS Negative,gators_6,gators_9,0.5039119203837767,100,ok (7/36 empty cells)
GAToRS Negative,gators_6,gators_10,0.3926482229696697,100,ok (6/42 empty cells)
GAToRS Negative,gators_6,gators_16,0.4526716061903019,100,ok (13/42 empty cells)
GAToRS Negative,gators_6,gators_17,0.26238858385352753,100,ok (7/36 empty cells)
GAToRS Negative,gators_6,gators_18,0.4262370940877739,100,ok (11/42 empty cells)
GAToRS Negative,gators_6,gators_19,0.1474224397541844,100,ok (8/30 empty cells)
GAToRS Negative,gators_6,gators_20,-0.041342239448925136,100,ok (6/30 empty cells)
GAToRS Negative,gators_7,gators_8,0.4685351431004165,100,ok (18/49 empty cells)
GAToRS Negative,gators_7,gators_9,0.4461664333965699,100,ok (11/42 empty cells)
GAToRS Negative,gators_7,gators_10,0.28882976890661116,100,ok (13/49 empty cells)
GAToRS Negative,gators_7,gators_16,0.34916112577448294,100,ok (19/49 empty cells)
GAToRS Negative,gators_7,gators_17,0.26915799123399975,100,ok (16/42 empty cells)
GAToRS Negative,gators_7,gators_18,0.34035085308847884,100,ok (16/49 empty cells)
GAToRS Negative,gators_7,gators_19,0.1384682226200061,100,ok (12/35 empty cells)
GAToRS Negative,gators_7,gators_20,0.06817790789151437,100,ok (10/35 empty cells)
GAToRS Negative,gators_8,gators_9,0.7243888326115441,100,ok (16/42 empty cells)
GAToRS Negative,gators_8,gators_10,0.444878776771301,100,ok (17/49 empty cells)
GAToRS Negative,gators_8,gators_16,0.3667519295521586,100,ok (17/49 empty cells)
GAToRS Negative,gators_8,gators_17,0.27578478334242296,100,ok (16/42 empty cells)
GAToRS Negative,gators_8,gators_18,0.4961258776101065,100,ok (21/49 empty cells)
GAToRS Negative,gators_8,gators_19,0.2209298580798192,100,ok (12/35 empty cells)
GAToRS Negative,gators_8,gators_20,0.09920109784063237,100,ok (10/35 empty cells)
GAToRS Negative,gators_9,gators_10,0.3929149202174021,100,ok (11/42 empty cells)
GAToRS Negative,gators_9,gators_16,0.4342974467994993,100,ok (13/42 empty cells)
GAToRS Negative,gators_9,gators_17,0.2909440698868368,100,ok (11/36 empty cells)
GAToRS Negative,gators_9,gators_18,0.49290660218752574,100,ok (13/42 empty cells)
GAToRS Negative,gators_9,gators_19,0.1434358493478374,100,ok (9/30 empty cells)
GAToRS Negative,gators_9,gators_20,0.16455787837140884,100,ok (6/30 empty cells)
GAToRS Negative,gators_10,gators_16,0.3046182912156069,100,ok (15/49 empty cells)
GAToRS Negative,gators_10,gators_17,0.27795746781956204,100,ok (15/42 empty cells)
GAToRS Negative,gators_10,gators_18,0.3051308192449674,100,ok (12/49 empty cells)
GAToRS Negative,gators_10,gators_19,-0.019920086546129156,100,ok (10/35 empty cells)
GAToRS Negative,gators_10,gators_20,0.10740738944556713,100,ok (8/35 empty cells)
GAToRS Negative,gators_16,gators_17,0.363015215258575,100,ok (14/42 empty cells)
GAToRS Negative,gators_16,gators_18,0.35366298019827985,100,ok (18/49 empty cells)
GAToRS Negative,gators_16,gators_19,0.21073689980423643,100,ok (12/35 empty cells)
GAToRS Negative,gators_16,gators_20,0.15593942752325643,100,ok (10/35 empty cells)
GAToRS Negative,gators_17,gators_18,0.3604116283458491,100,ok (14/42 empty cells)
GAToRS Negative,gators_17,gators_19,0.26037665764776574,100,ok (9/30 empty cells)
GAToRS Negative,gators_17,gators_20,0.240414883499685,100,ok (9/30 empty cells)
GAToRS Negative,gators_18,gators_19,0.25812353044983444,100,ok (11/35 empty cells)
GAToRS Negative,gators_18,gators_20,0.09657220290879873,100,ok (9/35 empty cells)
GAToRS Negative,gators_19,gators_20,0.5113143126798071,100,ok (9/25 empty cells)
GAToRS Negative,gators_6,gators_6,1.0,100,diagonal
GAToRS Negative,gators_7,gators_7,1.0,100,diagonal
GAToRS Negative,gators_8,gators_8,1.0,100,diagonal
GAToRS Negative,gators_9,gators_9,1.0,100,diagonal
GAToRS Negative,gators_10,gators_10,1.0,100,diagonal
GAToRS Negative,gators_16,gators_16,1.0,100,diagonal
GAToRS Negative,gators_17,gators_17,1.0,100,diagonal
GAToRS Negative,gators_18,gators_18,1.0,100,diagonal
GAToRS Negative,gators_19,gators_19,1.0,100,diagonal
GAToRS Negative,gators_20,gators_20,1.0,100,diagonal
