exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,manual_exclude_flag,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
8c78b31e3f02444ab89450f9a192abb9,22,102,101,0.0005435297318859544,0.30137334403474053,0.3014696564408241,9.631240608354297e-05,0.0010656577899518158,0.03958796558046786,0.040377780881819196,0.000789815301351339,0.031952589232996785,-0.05243942644203587,-0.052406429107894996,3.299733414087458e-05,0.001421713657755359,False,False,False,False,False,False,,0.031952589232996785,0.0392156862745098,False
2a7ca7b5779c412984f34e46d9bf2635,23,102,101,0.006094026503755303,0.30137334403474053,0.3057961502696109,0.004422806234870347,0.048936560815942436,0.03958796558046786,0.041441604053797446,0.0018536384733295885,0.07499037891952991,-0.05243942644203587,-0.05441600108159146,-0.001976574639555591,-0.08516212699583187,False,False,False,False,False,False,,0.08516212699583187,0.0392156862745098,False
93915b60073745b0bc6f3db0d177d998,24,102,101,0.0009279239149374813,0.30137334403474053,0.3009208575929483,-0.0004524864417922436,-0.005006579330239333,0.03958796558046786,0.03866262231254261,-0.0009253432679252466,-0.037435478002194024,-0.05243942644203587,-0.05237407653544002,6.534990659585321e-05,0.002815647298769907,False,False,False,False,False,False,,0.037435478002194024,0.0392156862745098,False
9f2a4e88194e4080ad8aad6a59b6a1d1,25,102,101,0.0026551285051495898,0.30137334403474053,0.30135226810939886,-2.1075925341673685e-05,-0.00023319658322434091,0.03958796558046786,0.041504463930678005,0.0019164983502101482,0.07753342388430175,-0.05243942644203587,-0.05238026949609205,5.915694594382098e-05,0.0025488191755237543,False,False,False,False,False,False,,0.07753342388430175,0.0392156862745098,False
8b081f52ad9343fbbda7ef81e6dd3a04,26,102,101,0.006702161222360946,0.30137334403474053,0.3088948423115953,0.007521498276854777,0.08322233403541814,0.03958796558046786,0.04057711816293639,0.0009891525824685318,0.040016933202355706,-0.05243942644203587,-0.04975117887327808,0.0026882475687577886,0.1158250623403024,False,False,False,False,False,False,,0.1158250623403024,0.0392156862745098,False
9cdcc1da3e10496c9a623f7b5284a5ba,27,102,101,0.0004086978327688411,0.30137334403474053,0.30133373709780686,-3.9606936933667125e-05,-0.00043823472588651997,0.03958796558046786,0.03882095118474751,-0.0007670143957203487,-0.031030160950687186,-0.05243942644203587,-0.05241799413903374,2.1432303002132114e-05,0.0009234260490618774,False,False,False,False,False,False,,0.031030160950687186,0.0392156862745098,False
6bba52ff679e449391b18a4f3cb3378a,28,102,101,0.008468645061398338,0.30137334403474053,0.29279184313997336,-0.008581500894767169,-0.0949508339564753,0.03958796558046786,0.038455082322825095,-0.0011328832576427625,-0.045831668895834676,-0.05243942644203587,-0.055433012087444035,-0.0029935856454081644,-0.12898077097886354,False,False,False,False,False,False,,0.12898077097886354,0.0392156862745098,False
1f73ad75111d4a03a9da913787843eae,29,102,101,0.00958989640135907,0.30137334403474053,0.28636210997747286,-0.015011234057267675,-0.16609322890387948,0.03958796558046786,0.04147104746056336,0.0018830818800955051,0.076181534725706,-0.05243942644203587,-0.054853756978257256,-0.002414330536221386,-0.10402315178030887,False,False,False,False,False,False,,0.16609322890387948,0.0392156862745098,False
b6d5b977f46a4cf597738d6c4b413a9d,30,102,101,0.0021775811810067357,0.30137334403474053,0.30399334822471596,0.0026200041899754334,0.02898928589045804,0.03958796558046786,0.04047170080503975,0.0008837352245718924,0.035752192408987915,-0.05243942644203587,-0.052495047585996414,-5.562114396054363e-05,-0.002396476627205072,False,False,False,False,False,False,,0.035752192408987915,0.0392156862745098,False
bbec2a47208a49b19e637fdbe08204c7,31,102,101,3.1992227703867895e-05,0.30137334403474053,0.30161506604012667,0.00024172200538613575,0.002674556150316398,0.03958796558046786,0.03953377148723863,-5.4194093229230356e-05,-0.0021924639809403133,-0.05243942644203587,-0.05243932456419075,1.0187784511839215e-07,4.389479562474264e-06,False,False,False,False,False,False,,0.002674556150316398,0.0392156862745098,False
cef0e506fa7c47b2bb92964ece39c629,32,102,101,0.00311320401819751,0.30137334403474053,0.2982446103679549,-0.0031287336667856214,-0.03461817163826746,0.03958796558046786,0.0385300695908386,-0.0010578959896292567,-0.04279800093771754,-0.05243942644203587,-0.052371914474105656,6.751196793021441e-05,0.0029088012522027226,False,False,False,False,False,False,,0.04279800093771754,0.0392156862745098,False
da6b1f80b3814716b99154d8a3760901,33,102,101,0.0016989903545015256,0.30137334403474053,0.2955347246768419,-0.0058386193578986445,-0.0646019599584203,0.03958796558046786,0.039641446377575426,5.3480797107569034e-05,0.0021636070343378122,-0.05243942644203587,-0.052605600972864625,-0.00016617453082875405,-0.007159748088791116,False,False,False,False,False,False,,0.0646019599584203,0.0392156862745098,False
17341d7a428142d89bf00c2b7dbcbcff,34,102,101,0.010110676254381532,0.30137334403474053,0.2908834095817721,-0.010489934452968419,-0.11606687882133443,0.03958796558046786,0.0432553782937388,0.003667412713270944,0.14836801942748035,-0.05243942644203587,-0.05551264787031097,-0.003073221428275097,-0.13241193543792543,False,False,False,False,False,False,,0.14836801942748035,0.0392156862745098,False
5edab9ad89db4ce29278fcd6967dc22f,35,102,101,0.0022718339579063836,0.30137334403474053,0.30401643793988975,0.0026430939051492186,0.029244764243074105,0.03958796558046786,0.03880487050833514,-0.000783095072132714,-0.031680717159352584,-0.05243942644203587,-0.05279333027650714,-0.0003539038344712725,-0.015248198925759165,False,False,False,False,False,False,,0.031680717159352584,0.0392156862745098,False
cb2739d8df89442f92479d3a7e8b92dd,36,102,101,0.00399318848663414,0.30137334403474053,0.30681718091214855,0.005443836877408015,0.06023385160375605,0.03958796558046786,0.04070505492584325,0.0011170893453753897,0.04519271395257401,-0.05243942644203587,-0.05356857445633962,-0.0011291480143037491,-0.04865014690912347,False,False,False,False,False,False,,0.06023385160375605,0.0392156862745098,False
af0dfcdcede944e5adbf92a4c0ba9b92,37,102,101,0.004241104047632048,0.30137334403474053,0.30298275390399504,0.0016094098692545078,0.017807468779346147,0.03958796558046786,0.04117510043114873,0.00158713485068087,0.0642087686252871,-0.05243942644203587,-0.05269811031593812,-0.0002586838739022518,-0.011145579063986433,False,False,False,False,False,False,,0.0642087686252871,0.0392156862745098,False
d48744259ced44b59415148e3901862e,38,102,101,0.004272233781247359,0.30137334403474053,0.30231781412735176,0.000944470092611227,0.01045017929148845,0.03958796558046786,0.04156914858497967,0.001981183004511812,0.08015029163179054,-0.05243942644203587,-0.052554569634006676,-0.00011514319197080541,-0.004961026485459666,False,False,False,False,False,False,,0.08015029163179054,0.0392156862745098,False
7d8eefccdb224f898923a6c601c8ab83,39,102,101,0.0008019884052633335,0.30137334403474053,0.30278514544739327,0.0014118014126527356,0.015621011190950208,0.03958796558046786,0.03938807482859526,-0.00019989075187260008,-0.008086735057085058,-0.05243942644203587,-0.05259967089987766,-0.00016024445784178915,-0.006904246667947224,False,False,False,False,False,False,,0.015621011190950208,0.0392156862745098,False
