exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
cb2739d8df89442f92479d3a7e8b92dd,36,99,98,0.004669351169748615,0.23439069313776092,0.24033658390726328,0.00594589076950236,0.06444362044908832,0.050638179803989665,0.05181612639006747,0.0011779465860778035,0.04657998005314795,-0.0719810021435328,-0.07324885928219352,-0.001267857138660719,-0.05314846727563673,False,False,False,False,False,False,False,,0.06444362044908832,0.04040404040404041,False
af0dfcdcede944e5adbf92a4c0ba9b92,37,99,98,0.0046430390622966555,0.23439069313776092,0.23492453925840864,0.0005338461206477185,0.005786008877542688,0.050638179803989665,0.05247142600580636,0.001833246201816692,0.07249273653185033,-0.0719810021435328,-0.07258960589670149,-0.0006086037531686933,-0.025512619421210622,False,False,False,False,False,False,False,,0.07249273653185033,0.04040404040404041,False
d48744259ced44b59415148e3901862e,38,99,98,0.004755271325109109,0.23439069313776092,0.2341235875636766,-0.00026710557408432534,-0.002894982586026679,0.050638179803989665,0.05291150904306148,0.0022733292390718154,0.08989510378631806,-0.0719810021435328,-0.07248623997142281,-0.0005052378278900121,-0.02117952831057246,False,False,False,False,False,False,False,,0.08989510378631806,0.04040404040404041,False
7d8eefccdb224f898923a6c601c8ab83,39,99,98,0.0008461348121774786,0.23439069313776092,0.23548564318336757,0.0010949500456066408,0.011867447264876683,0.050638179803989665,0.05047748390248551,-0.0001606959015041584,-0.006354457812564965,-0.0719810021435328,-0.07220371335605039,-0.0002227112125175873,-0.009336035764180765,False,False,False,False,False,False,False,,0.011867447264876683,0.04040404040404041,False
fc090a6ff748439ea823340006f8409b,40,99,98,0.0015411600915127052,0.23439069313776092,0.23654891779562648,0.002158224657865554,0.023391585228699354,0.050638179803989665,0.0492773404953575,-0.001360839308632164,-0.05381217501778903,-0.0719810021435328,-0.07216984769249248,-0.0001888455489596763,-0.007916389925157719,False,False,False,False,False,False,False,,0.05381217501778903,0.04040404040404041,False
7d6366e64e6c4cfdba0bab82b1604f44,41,99,98,0.0008243380346899188,0.23439069313776092,0.23477630221429072,0.0003856090765297915,0.00417936452803171,0.050638179803989665,0.051141215897207534,0.0005030360932178693,0.01989174336513946,-0.0719810021435328,-0.07219210601886371,-0.00021110387533090913,-0.008849457141233459,False,False,False,False,False,False,False,,0.01989174336513946,0.04040404040404041,False
37a96095f39f4370a745a7e32ebf11d5,42,99,98,0.0005396504906331887,0.23439069313776092,0.23497657133508953,0.0005858781973286098,0.006349950519054185,0.050638179803989665,0.05078401960337521,0.00014583979938554564,0.0057669974399714614,-0.0719810021435328,-0.07215261296998032,-0.00017161082644752412,-0.007193911770868663,False,False,False,False,False,False,False,,0.007193911770868663,0.04040404040404041,False
907a2daa3fe54a0ca3ead9847e09b46a,43,99,98,0.02057968221846604,0.23439069313776092,0.2515738332115609,0.01718314007379998,0.18623681462822503,0.050638179803989665,0.046012058772753814,-0.004626121031235851,-0.18293242486988404,-0.0719810021435328,-0.06748204292500591,0.004498959218526888,0.18859600148080052,False,False,False,False,False,False,False,,0.18859600148080052,0.04040404040404041,False
91783553ab0449c09f5bc3434e2eaa89,44,99,98,0.0029376307690453826,0.23439069313776092,0.23370092571548642,-0.0006897674222745009,-0.007475937867409611,0.050638179803989665,0.04877758580171389,-0.001860594002275777,-0.0735741607788726,-0.0719810021435328,-0.07106631932131684,0.000914682822215962,0.03834342889411399,False,False,False,False,False,False,False,,0.0735741607788726,0.04040404040404041,False
cac2c0de502348bfad795df71f2a1e71,45,99,98,0.0037730346085350667,0.23439069313776092,0.22905181645235304,-0.0053388766854078895,-0.05786459187976446,0.050638179803989665,0.04958230549082423,-0.0010558743131654363,-0.041752830754100766,-0.0719810021435328,-0.07082705099590517,0.0011539511476276326,0.04837353747296516,False,False,False,False,False,False,False,,0.05786459187976446,0.04040404040404041,False
dff5c0713e614e1fb873826cbbb41705,46,99,98,0.004477020997187598,0.23439069313776092,0.23819466425905478,0.003803971121293853,0.041228754553873356,0.050638179803989665,0.0483435745246356,-0.002294605279354066,-0.09073643016195368,-0.0719810021435328,-0.07235181365054605,-0.0003708115070132495,-0.015544387963727153,False,False,False,False,False,False,False,,0.09073643016195368,0.04040404040404041,False
b99a2b7b8dd84149960b13cb998f42d7,47,99,98,0.0007310713677159268,0.23439069313776092,0.23107098150358402,-0.0033197116341769084,-0.03598018275926461,0.050638179803989665,0.051507149055516455,0.0008689692515267897,0.034361974372446875,-0.0719810021435328,-0.07279938772768246,-0.000818385584149664,-0.034306656571715576,False,False,False,False,False,False,False,,0.03598018275926461,0.04040404040404041,False
