exp_sid,participant_number,n_full,n_leave_one_out,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,exclude_flag
cf14b27dd2a94c1291f10b2cbb05dd64,62,99,98,0.23888451651824916,0.24185794563305388,0.002973429114804721,0.033160222604695595,0.058054409845137316,0.05903607288249019,0.0009816630373528715,0.04082699763222078,-0.03788245860110219,-0.03828060242503266,-0.0003981438239304691,-0.017624416723473858,False,False,False,False
32015503ad8c45578f32bc2dcda58aed,63,99,98,0.23888451651824916,0.23453212527172343,-0.0043523912465257275,-0.04853865924663223,0.058054409845137316,0.05945963456086904,0.0014052247157317274,0.05844276901432784,-0.03788245860110219,-0.039050200695628506,-0.0011677420945263167,-0.051691805981820736,False,False,False,False
9e259b7e4e614530b3f3da2205837a46,64,99,98,0.23888451651824916,0.23850978239900075,-0.0003747341192484044,-0.004179103093455693,0.058054409845137316,0.056891222942241367,-0.001163186902895949,-0.0483765071346905,-0.03788245860110219,-0.03738134179195642,0.0005011168091457671,0.02218266601333717,False,False,False,False
eaf2b998190941bfad65f6b552861e4f,65,99,98,0.23888451651824916,0.23680114202850838,-0.0020833744897407747,-0.023234171450320695,0.058054409845137316,0.05730772864986918,-0.000746681195268134,-0.03105419093036275,-0.03788245860110219,-0.037797169705936697,8.528889516549315e-05,0.0037754372664683994,False,False,False,False
86e5152601e44bc79e68c7fd0560dde1,66,99,98,0.23888451651824916,0.23646217670569553,-0.002422339812553631,-0.027014374416580077,0.058054409845137316,0.058329933061500146,0.00027552321636283017,0.011458907256404725,-0.03788245860110219,-0.037595138603555275,0.0002873199975469143,0.012718638505462895,False,False,False,False
2691c893a7e44918a20165dac64aa688,67,99,98,0.23888451651824916,0.24397846493504188,0.005093948416792726,0.056808639760957284,0.058054409845137316,0.055879499800144325,-0.0021749100449929906,-0.09045369325167277,-0.03788245860110219,-0.038586233351126695,-0.0007037747500245051,-0.03115361517213101,False,False,False,False
a4847afbee3440488223989d8a8cc3e4,68,99,98,0.23888451651824916,0.23937905599586679,0.0004945394776176282,0.005515194252642349,0.058054409845137316,0.059778050903489255,0.0017236410583519393,0.0716855853082684,-0.03788245860110219,-0.038580850406310804,-0.0006983918052086147,-0.03091533127336762,False,False,False,False
7359e266ef9948aca580b49b20692727,69,99,98,0.23888451651824916,0.23993718956919882,0.0010526730509496651,0.011739601433796903,0.058054409845137316,0.057497620848447756,-0.0005567889966895598,-0.023156645594795806,-0.03788245860110219,-0.03799654945427706,-0.00011409085317486828,-0.005050397921133413,False,False,False,False
8699d4cf905a4fa8bc11601c72ba7be4,70,99,98,0.23888451651824916,0.23909235809721346,0.00020784157896430733,0.002317887112442727,0.058054409845137316,0.058739137203189455,0.0006847273580521396,0.02847755407119661,-0.03788245860110219,-0.037837140523514064,4.531807758812595e-05,0.0020060707626582113,False,False,False,False
856e3316894747d2b9c9ee1f0f216ce8,71,99,98,0.23888451651824916,0.24629315494063334,0.007408638422384178,0.08262248393975741,0.058054409845137316,0.05856102747199065,0.000506617626853334,0.021070037135917305,-0.03788245860110219,-0.03838859967044157,-0.0005061410693393831,-0.022405072214456374,False,False,False,False
18ae6b1aeb664685b0fd2c4e318f50d4,72,99,98,0.23888451651824916,0.23625056519166404,-0.0026339513265851155,-0.029374304530959662,0.058054409845137316,0.05781642894227879,-0.0002379809028585228,-0.009897536514890818,-0.03788245860110219,-0.03809481010380226,-0.00021235150270006858,-0.009400048802704739,False,False,False,False
75489e519b9a42568ddcff822ad0a78d,73,99,98,0.23888451651824916,0.2372595178376161,-0.0016249986806330663,-0.018122281010108432,0.058054409845137316,0.058147262575782455,9.285273064513905e-05,0.0038617102508176015,-0.03788245860110219,-0.03810583306248343,-0.00022337446138123718,-0.009887996136421202,False,False,False,False
9b45f7fbf159423e8d0647bc7bcac22c,74,99,98,0.23888451651824916,0.23364040699701635,-0.005244109521232804,-0.05848326372458486,0.058054409845137316,0.056077255623356775,-0.00197715422178054,-0.08222910271618297,-0.03788245860110219,-0.035694367890749756,0.0021880907103524333,0.09685902477981903,False,False,False,False
