exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_mentism_c,loo_beta_mentism_c,delta_beta_mentism_c,dfbetas_mentism_c,full_beta_like_x_mentism,loo_beta_like_x_mentism,delta_beta_like_x_mentism,dfbetas_like_x_mentism,crosses_like_c,crosses_mentism_c,crosses_like_x_mentism,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
1f73ad75111d4a03a9da913787843eae,29,100,99,0.013106871490877223,0.2329171564899848,0.21501566335907032,-0.017901493130914464,-0.19593642135236844,0.04983475260711049,0.052423874866601744,0.002589122259491254,0.10315444404801605,-0.06980909765707793,-0.07293171484839772,-0.0031226171913197875,-0.13281352198849347,False,False,False,False,False,False,False,,0.19593642135236844,0.04,False
b6d5b977f46a4cf597738d6c4b413a9d,30,100,99,0.0020126306306600637,0.2329171564899848,0.235673868365207,0.002756711875222223,0.030172916615421295,0.04983475260711049,0.050585857820487655,0.0007511052133771651,0.029925137920181578,-0.06980909765707793,-0.06980939484330599,-2.9718622805707806e-07,-1.2640149982026411e-05,False,False,False,False,False,False,False,,0.030172916615421295,0.04,False
bbec2a47208a49b19e637fdbe08204c7,31,100,99,3.9071146226550615e-05,0.2329171564899848,0.23308861986261287,0.00017146337262807787,0.001876710472141328,0.04983475260711049,0.049791999064145796,-4.275354296469358e-05,-0.0017033641186463375,-0.06980909765707793,-0.06983126199917616,-2.2164342098229817e-05,-0.000942710603402385,False,False,False,False,False,False,False,,0.001876710472141328,0.04,False
cef0e506fa7c47b2bb92964ece39c629,32,100,99,0.003364409735023466,0.2329171564899848,0.22933895817602104,-0.0035781983139637485,-0.03916429581599493,0.04983475260711049,0.048864342843198474,-0.0009704097639120154,-0.03866255420274355,-0.06980909765707793,-0.06980943156711149,-3.339100335536527e-07,-1.420211472185384e-05,False,False,False,False,False,False,False,,0.03916429581599493,0.04,False
da6b1f80b3814716b99154d8a3760901,33,100,99,0.0025009707706788375,0.2329171564899848,0.22555220666997455,-0.007364949820010236,-0.08061125966529137,0.04983475260711049,0.05008325767778547,0.0002485050706749828,0.009900808011139567,-0.06980909765707793,-0.07016555410008486,-0.0003564564430069278,-0.015161075703689244,False,False,False,False,False,False,False,,0.08061125966529137,0.04,False
5edab9ad89db4ce29278fcd6967dc22f,35,100,99,0.002353933453291769,0.2329171564899848,0.23529376304393848,0.002376606553953692,0.026012566646751178,0.04983475260711049,0.04908980673344498,-0.0007449458736655118,-0.029679740754663675,-0.06980909765707793,-0.0702128249119099,-0.0004037272548319676,-0.017171633713550627,False,False,False,False,False,False,False,,0.029679740754663675,0.04,False
cb2739d8df89442f92479d3a7e8b92dd,36,100,99,0.003779060223925017,0.2329171564899848,0.23827240137787054,0.005355244887885746,0.05861452511946403,0.04983475260711049,0.05084880031270227,0.0010140477055917835,0.04040115406873085,-0.06980909765707793,-0.07087325198481989,-0.0010641543277419563,-0.04526141872259768,False,False,False,False,False,False,False,,0.05861452511946403,0.04,False
af0dfcdcede944e5adbf92a4c0ba9b92,37,100,99,0.004653417622444765,0.2329171564899848,0.2334603157530228,0.0005431592630380233,0.0059450170690104635,0.04983475260711049,0.05165705575359055,0.0018223031464800615,0.07260324122316175,-0.06980909765707793,-0.07039228452511492,-0.0005831868680369889,-0.024804546050902432,False,False,False,False,False,False,False,,0.07260324122316175,0.04,False
d48744259ced44b59415148e3901862e,38,100,99,0.004759639860669039,0.2329171564899848,0.2326633119265061,-0.00025384456347868345,-0.0027783936783393115,0.04983475260711049,0.05208944188266007,0.0022546892755495804,0.0898301414186759,-0.06980909765707793,-0.070285163863036,-0.00047606620595806726,-0.020248408831140405,False,False,False,False,False,False,False,,0.0898301414186759,0.04,False
7d8eefccdb224f898923a6c601c8ab83,39,100,99,0.000855108777767694,0.2329171564899848,0.23404786160160299,0.0011307051116181965,0.01237585667045319,0.04983475260711049,0.049683239901334005,-0.00015151270577648535,-0.006036489344328998,-0.06980909765707793,-0.0700395018871026,-0.00023040423002466948,-0.009799727406768611,False,False,False,False,False,False,False,,0.01237585667045319,0.04,False
